Treatment,PhytoSpecies,Mean_cellmL,Total_cellmL,Total.cellmL_SD,Mean_ngCmL,Total_ngmL,Total.ngCmL_SD
Cala_t24,Tabellaria fenestrate,0.4,16.557,5.5,0.172,3.071,1.064
Cala_t24,Tabellaria flocculosa,0.056,16.557,5.5,0.025,3.071,1.064
Cala_t24,Asterionella formosa,0.874,16.557,5.5,0.096,3.071,1.064
Cala_t24,Aulacoseira alpigena,0.698,16.557,5.5,0.159,3.071,1.064
Cala_t24,Aulacoseira subarctica,0.991,16.557,5.5,0.141,3.071,1.064
Cala_t24,Cyclotella,2.527,16.557,5.5,0.337,3.071,1.064
Cycl_t24,Ciliates,0.391,18.929,2.29,0.266,2.946,0.376
Cycl_t24,Dolichospermum flos-aquae,1.272,18.929,2.29,0.023,2.946,0.376
Cycl_t24,Oscillatoria,0.288,18.929,2.29,0.317,2.946,0.376
Cycl_t24,Rhodomonas minuta,5.934,18.929,2.29,0.698,2.946,0.376
Cycl_t24,Cryptomonas,0.321,18.929,2.29,0.283,2.946,0.376
Cycl_t24,Dinobryon sociale,0.349,18.929,2.29,0.101,2.946,0.376
Cycl_t24,Chrysochromulina parva,0.014,18.929,2.29,0.001,2.946,0.376
Cycl_t24,Pyramimonadales,0.098,18.929,2.29,0.016,2.946,0.376
Cycl_t24,Monoraphidium minutum,1.899,18.929,2.29,0.084,2.946,0.376
Cycl_t24,Monoraphidium contortum,0.74,18.929,2.29,0.009,2.946,0.376
Cycl_t24,Chlamydomonas,0.07,18.929,2.29,0.002,2.946,0.376
Cycl_t24,Cosmarium,0.195,18.929,2.29,0.009,2.946,0.376
Cycl_t24,Desmodesmus,0.126,18.929,2.29,0.006,2.946,0.376
Cycl_t24,Kirchneriella obesa,0.435,18.929,2.29,0.117,2.946,0.376
Cycl_t24,Raphidocelis,0,18.929,2.29,0,2.946,0.376
Cycl_t24,Closterium acutum,0.866,18.929,2.29,0.152,2.946,0.376
Cycl_t24,Oocystis parva,0.558,18.929,2.29,0.065,2.946,0.376
Cycl_t24,Oocystis,0.628,18.929,2.29,0.017,2.946,0.376
Cycl_t24,Coenococcus planctonicus,0.014,18.929,2.29,0.001,2.946,0.376
Cycl_t24,Radiococcus polycoccus,0.293,18.929,2.29,0.008,2.946,0.376
Cycl_t24,Pennate_cylinder,0.628,18.929,2.29,0.162,2.946,0.376
Cycl_t24,Pennate_cones,0.209,18.929,2.29,0.038,2.946,0.376
Cycl_t24,Tabellaria fenestrate,0.14,18.929,2.29,0.06,2.946,0.376
Cycl_t24,Tabellaria flocculosa,0.014,18.929,2.29,0.006,2.946,0.376
Cycl_t24,Asterionella formosa,1.016,18.929,2.29,0.112,2.946,0.376
Cycl_t24,Aulacoseira alpigena,0.67,18.929,2.29,0.153,2.946,0.376
Cycl_t24,Aulacoseira subarctica,0.489,18.929,2.29,0.069,2.946,0.376
Cycl_t24,Cyclotella,1.271,18.929,2.29,0.169,2.946,0.376
